City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-09-03 17:08:57,-46.19,168.86,45.0,72,100,11.01
1,Torbay,CA,2020-09-03 17:08:57,47.67,-52.73,66.2,63,75,19.46
2,Pisco,PE,2020-09-03 17:08:57,-13.7,-76.22,64.4,68,90,5.82
3,Padang,ID,2020-09-03 17:08:57,-0.95,100.35,77.27,83,100,1.7
4,Yaring,TH,2020-09-03 17:08:58,6.87,101.37,80.69,79,46,3.8
5,Jamestown,US,2020-09-03 17:07:59,42.1,-79.24,75.99,77,1,9.17
6,Samarai,PG,2020-09-03 17:08:58,-10.62,150.67,77.68,86,91,17.45
7,Panguna,PG,2020-09-03 17:08:59,-6.32,155.48,68.45,97,85,1.28
8,Goderich,CA,2020-09-03 17:08:59,43.75,-81.72,79.0,50,60,24.47
9,Busselton,AU,2020-09-03 17:08:59,-33.65,115.33,59.0,64,100,13.18
10,Gao,ML,2020-09-03 17:09:00,16.64,1.64,93.7,37,74,12.8
11,Mar Del Plata,AR,2020-09-03 17:09:00,-38.0,-57.56,53.01,71,75,9.17
12,Leningradskiy,RU,2020-09-03 17:09:00,69.38,178.42,34.57,94,100,3.2
13,Esperance,AU,2020-09-03 17:09:00,-33.87,121.9,51.8,76,4,11.41
14,Lorient,FR,2020-09-03 17:09:01,47.83,-3.25,71.01,68,20,13.87
15,Cape Town,ZA,2020-09-03 17:04:18,-33.93,18.42,64.0,77,75,6.93
16,Vaini,TO,2020-09-03 17:09:01,-21.2,-175.2,69.8,73,40,13.87
17,Bayanday,RU,2020-09-03 17:09:01,53.07,105.51,49.62,86,0,1.1
18,Longyearbyen,SJ,2020-09-03 17:09:02,78.22,15.64,42.8,93,75,2.24
19,Pabrade,LT,2020-09-03 17:09:02,55.0,25.78,64.99,63,15,9.17
20,Noyabrsk,RU,2020-09-03 17:09:02,63.2,75.45,47.08,82,36,13.91
21,Albany,US,2020-09-03 17:05:06,42.6,-73.97,79.0,46,92,3.38
22,Pevek,RU,2020-09-03 17:09:03,69.7,170.31,34.61,89,67,5.97
23,Upernavik,GL,2020-09-03 17:09:03,72.79,-56.15,38.89,70,0,5.57
24,Okhotsk,RU,2020-09-03 17:09:03,59.38,143.3,48.61,81,46,3.33
25,Katsuura,JP,2020-09-03 17:09:03,35.13,140.3,82.0,89,93,1.99
26,Hobart,AU,2020-09-03 17:08:54,-42.88,147.33,48.2,66,75,12.75
27,Berwick,US,2020-09-03 17:09:04,41.05,-76.23,81.0,52,61,5.01
28,Bredasdorp,ZA,2020-09-03 17:09:04,-34.53,20.04,62.6,63,77,8.05
29,Ilulissat,GL,2020-09-03 17:05:18,69.22,-51.1,44.6,39,5,12.75
30,Cairns,AU,2020-09-03 17:09:05,-16.92,145.77,69.8,88,90,9.17
31,Provideniya,RU,2020-09-03 17:09:05,64.38,-173.3,39.7,73,96,2.53
32,Nishihara,JP,2020-09-03 17:09:05,26.18,127.76,80.6,100,20,3.36
33,Punta Arenas,CL,2020-09-03 17:09:06,-53.15,-70.92,46.0,70,93,6.93
34,Labuhan,ID,2020-09-03 17:09:06,-6.88,112.21,79.36,81,88,6.62
35,Tasiilaq,GL,2020-09-03 17:09:06,65.61,-37.64,44.6,65,20,9.17
36,Airai,TL,2020-09-03 17:09:06,-8.93,125.41,57.09,88,74,3.18
37,Talaya,RU,2020-09-03 17:09:07,61.38,152.75,32.79,91,13,1.45
38,Faxinal,BR,2020-09-03 17:09:07,-24.0,-51.32,80.2,46,21,9.24
39,Carnarvon,AU,2020-09-03 17:05:27,-24.87,113.63,62.6,82,0,11.41
40,Bubaque,GW,2020-09-03 17:09:07,11.28,-15.83,79.32,82,55,21.39
41,Burnie,AU,2020-09-03 17:09:08,-41.07,145.92,46.0,87,86,1.01
42,Puerto Ayora,EC,2020-09-03 17:09:08,-0.74,-90.35,71.01,73,75,19.46
43,Fortuna,US,2020-09-03 17:09:08,40.6,-124.16,57.99,93,90,5.82
44,Bad Frankenhausen,DE,2020-09-03 17:09:08,51.35,11.1,66.2,55,20,10.29
45,Yunyang,CN,2020-09-03 17:09:09,33.45,112.71,69.4,48,0,5.75
46,Thompson,CA,2020-09-03 17:09:09,55.74,-97.86,48.2,87,90,11.41
47,Saldanha,ZA,2020-09-03 17:09:09,-33.01,17.94,66.2,68,81,5.82
48,Nome,US,2020-09-03 17:09:09,64.5,-165.41,37.4,100,75,5.82
49,Hauterive,FR,2020-09-03 17:09:10,46.09,3.45,78.8,33,17,2.24
50,Nizhniy Odes,RU,2020-09-03 17:09:10,63.64,54.86,46.99,80,98,3.8
51,Yeppoon,AU,2020-09-03 17:09:10,-23.13,150.73,64.4,88,40,6.93
52,Saint-Philippe,RE,2020-09-03 17:09:11,-21.36,55.77,68.0,77,75,6.93
53,Fairbanks,US,2020-09-03 17:08:38,64.84,-147.72,46.4,93,1,1.88
54,Bethel,US,2020-09-03 17:09:11,41.37,-73.41,79.0,62,51,1.99
55,Rikitea,PF,2020-09-03 17:09:11,-23.12,-134.97,71.42,86,0,8.81
56,Peachland,CA,2020-09-03 17:09:12,49.77,-119.74,68.0,59,1,16.11
57,Eureka,US,2020-09-03 17:05:48,40.8,-124.16,57.0,100,67,2.91
58,Chalon-Sur-Saone,FR,2020-09-03 17:09:12,46.78,4.85,77.0,33,24,3.36
59,Cherskiy,RU,2020-09-03 17:09:12,68.75,161.3,32.31,95,14,6.55
60,Huai Yot,TH,2020-09-03 17:09:13,7.79,99.63,76.44,92,86,1.48
61,Buchanan,LR,2020-09-03 17:09:13,5.88,-10.05,82.4,74,75,9.17
62,Elizabeth City,US,2020-09-03 17:09:13,36.29,-76.25,95.0,63,1,6.93
63,Multan,PK,2020-09-03 17:06:52,30.2,71.48,86.0,84,75,6.93
64,Kapaa,US,2020-09-03 17:09:14,22.08,-159.32,78.8,74,20,10.29
65,Hilo,US,2020-09-03 17:06:25,19.73,-155.09,73.4,69,90,8.05
66,Ushuaia,AR,2020-09-03 17:09:14,-54.8,-68.3,37.4,93,75,1.68
67,Castro,BR,2020-09-03 17:09:14,-24.79,-50.01,77.63,48,16,11.45
68,Guerrero Negro,MX,2020-09-03 17:06:39,27.98,-114.06,77.68,61,4,12.03
69,Qaanaaq,GL,2020-09-03 17:09:15,77.48,-69.36,28.54,84,75,4.09
70,Porto Santo,PT,2020-09-03 17:09:15,33.07,-16.34,75.2,60,20,10.29
71,New Norfolk,AU,2020-09-03 17:09:15,-42.78,147.06,46.99,75,54,4.0
72,Port Elizabeth,ZA,2020-09-03 17:06:03,-33.92,25.57,62.6,77,19,6.93
73,Lorengau,PG,2020-09-03 17:09:16,-2.02,147.27,81.93,76,86,5.61
74,Latung,PH,2020-09-03 17:09:16,5.5,120.88,83.79,75,68,9.04
75,Hermanus,ZA,2020-09-03 17:09:16,-34.42,19.23,57.99,85,93,5.44
76,Namatanai,PG,2020-09-03 17:09:17,-3.67,152.43,79.72,82,88,4.16
77,Pangnirtung,CA,2020-09-03 17:09:17,66.15,-65.71,44.6,81,75,17.22
78,Kurchum,KZ,2020-09-03 17:09:17,48.57,83.65,74.7,36,100,18.48
79,Zeya,RU,2020-09-03 17:09:18,53.75,127.27,55.87,88,100,6.69
80,Khatanga,RU,2020-09-03 17:09:18,71.97,102.5,42.15,85,95,14.94
81,Nabire,ID,2020-09-03 17:09:18,-3.37,135.48,77.59,83,100,3.98
82,Maues,BR,2020-09-03 17:06:36,-3.38,-57.72,101.37,26,18,5.28
83,Dikson,RU,2020-09-03 17:09:19,73.51,80.55,40.53,94,6,12.41
84,Morwell,AU,2020-09-03 17:09:19,-38.23,146.4,50.0,72,12,4.88
85,Kabansk,RU,2020-09-03 17:09:19,52.05,106.65,48.2,93,0,4.47
86,Clyde River,CA,2020-09-03 17:09:20,70.47,-68.59,42.8,81,75,8.05
87,Saskylakh,RU,2020-09-03 17:09:20,71.92,114.08,49.66,82,100,12.97
88,Palmas Bellas,PA,2020-09-03 17:09:20,9.23,-80.09,82.0,74,12,8.01
89,Oga,IT,2020-09-03 17:09:20,46.46,10.35,62.6,33,0,8.05
90,Anton Lizardo,MX,2020-09-03 17:09:21,19.05,-95.98,87.8,70,40,6.93
91,Norman Wells,CA,2020-09-03 17:09:21,65.28,-126.83,44.6,87,75,4.7
92,Calais,FR,2020-09-03 17:09:21,50.92,1.83,66.99,87,88,4.0
93,Waycross,US,2020-09-03 17:09:22,31.21,-82.35,91.99,43,75,5.82
94,Broome,US,2020-09-03 17:09:22,42.25,-75.83,77.0,68,1,8.05
95,Brae,GB,2020-09-03 17:09:22,60.4,-1.35,57.2,87,20,10.29
96,Georgetown,MY,2020-09-03 17:09:22,5.41,100.34,82.0,83,20,4.7
97,Manzil Salim,TN,2020-09-03 17:09:23,35.86,8.48,62.6,100,75,4.7
98,Kodiak,US,2020-09-03 17:09:07,57.79,-152.41,47.66,78,73,5.1
99,Westport,US,2020-09-03 17:04:39,41.14,-73.36,84.0,42,1,9.17
100,Iwanai,JP,2020-09-03 17:09:23,42.97,140.51,72.43,86,7,8.88
101,East London,ZA,2020-09-03 17:04:55,-33.02,27.91,64.4,68,0,3.36
102,Chuy,UY,2020-09-03 17:09:24,-33.7,-53.46,54.5,78,76,11.56
103,Alugan,PH,2020-09-03 17:09:24,12.22,125.48,80.8,79,84,4.76
104,Urumqi,CN,2020-09-03 17:05:09,43.8,87.6,84.2,20,79,13.42
105,Wukari,NG,2020-09-03 17:09:24,7.85,9.78,80.55,85,74,2.77
106,Lata,PT,2020-09-03 17:09:25,40.16,-8.33,93.99,37,0,9.66
107,Severo-Kurilsk,RU,2020-09-03 17:09:25,50.68,156.12,54.34,93,100,11.48
108,Vardo,NO,2020-09-03 17:09:25,70.37,31.11,60.8,55,72,14.99
109,Marsaxlokk,MT,2020-09-03 17:09:25,35.84,14.54,80.6,69,20,8.05
110,Korgen,NO,2020-09-03 17:09:26,66.08,13.82,66.2,48,20,12.75
111,Shitanjing,CN,2020-09-03 17:09:26,39.23,106.34,66.88,26,0,6.82
112,Trinidad,BO,2020-09-03 17:09:26,-14.83,-64.9,80.6,51,26,3.36
113,Kavaratti,IN,2020-09-03 17:09:26,10.57,72.64,81.97,79,91,10.0
114,Yar-Sale,RU,2020-09-03 17:09:27,66.83,70.83,47.23,74,63,16.62
115,Ponta Do Sol,PT,2020-09-03 17:09:27,32.67,-17.1,72.0,66,34,1.16
