City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Guerrero Negro,MX,82.54,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
2,Eyl,SO,76.1,scattered clouds,7.98,49.82,Amiin Hotel
3,Sulangan,PH,83.95,overcast clouds,11.14,123.72,Maia's Beach Resort
4,Butaritari,KI,82.81,few clouds,3.07,172.79,Isles Sunset Lodge
5,Padang,ID,76.6,overcast clouds,-0.95,100.35,Mercure Padang
6,Uaua,BR,76.96,overcast clouds,-9.84,-39.48,Hotel Uauá
15,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
17,Port Blair,IN,81.99,few clouds,11.67,92.75,Fortune Resort Bay Island
24,Nabire,ID,75.79,light rain,-3.37,135.48,Hotel Nusantara Nabire
27,Umm Kaddadah,SD,84.76,clear sky,13.6,26.69,
28,Bambanglipuro,ID,75.16,broken clouds,-7.95,110.28,Puri Brata
31,Enid,US,95.0,clear sky,36.4,-97.88,Ramada by Wyndham Enid
34,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
38,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
42,Panacan,PH,80.55,broken clouds,9.25,118.41,Mom's Place Resort
45,Corrente,BR,85.19,overcast clouds,-3.74,-43.34,Chapadinhense Hotel
49,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
50,Jamestown,US,75.99,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
55,Iquitos,PE,89.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
59,Kloulklubed,PW,84.24,overcast clouds,7.04,134.26,Storyboard Beach Resort
63,Santa Paula,US,82.0,clear sky,34.35,-119.06,Santa Paula Inn
64,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
66,Bubaque,GW,79.61,overcast clouds,11.28,-15.83,Casa Dora
68,Bethel,US,81.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
72,Nam Som,TH,76.19,broken clouds,17.77,102.19,โรงแรมวุฒิโชค น้ำโสม
73,Brewster,US,80.6,clear sky,41.4,-73.62,Heidi's Inn
78,Hithadhoo,MV,81.72,few clouds,-0.6,73.08,Scoop Guest House
83,Sur,OM,83.57,overcast clouds,22.57,59.53,Sur Plaza Hotel
87,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
88,Kavieng,PG,82.27,overcast clouds,-2.57,150.8,Nusa Island Retreat
90,San Cristobal,VE,89.6,thunderstorm,7.77,-72.22,Pirineos
91,Bonthe,SL,77.05,overcast clouds,7.53,-12.51,Bonthe Holiday Village
92,Acarau,BR,78.69,few clouds,-2.89,-40.12,castelo pizzaria
94,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
96,Roma,US,77.0,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
98,Kapaa,US,84.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
101,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
103,Goderich,CA,81.0,scattered clouds,43.75,-81.72,Harmony Inn
104,Namatanai,PG,81.0,overcast clouds,-3.67,152.43,Namatanai Hotel
106,Algiers,DZ,75.2,clear sky,36.75,3.04,Sofitel Algiers Hamma Garden
107,Atuona,PF,78.28,clear sky,-9.8,-139.03,Villa Enata
108,Tual,ID,79.97,broken clouds,-5.67,132.75,Grand Vilia Hotel
110,Kimbe,PG,77.47,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
113,Brokopondo,SR,87.48,few clouds,4.75,-55.17,Matu Island
114,Kieta,PG,81.68,broken clouds,-6.22,155.63,
117,Kifri,IQ,90.88,clear sky,34.7,44.97,میزان کفری
119,Elizabeth City,US,97.0,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
125,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
132,Bathsheba,BB,80.6,light rain,13.22,-59.52,Atlantis Hotel
133,Sinnamary,GF,81.88,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
134,Takoradi,GH,75.63,scattered clouds,4.88,-1.76,Raybow International Hotel
137,Keningau,MY,75.2,few clouds,5.34,116.16,Sabindo Hotel
139,Tarakan,ID,78.28,heavy intensity rain,3.3,117.63,Hotel D' CaLia Tarakan
140,Carutapera,BR,79.68,broken clouds,-1.2,-46.02,Lidera
141,Allapalli,IN,75.47,broken clouds,19.42,80.07,Hotel IK Residency
142,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
144,Sao Filipe,CV,79.59,light rain,14.9,-24.5,Tortuga B&B
147,Cockburn Town,TC,83.16,overcast clouds,21.46,-71.14,Osprey Beach Hotel
149,Camapua,BR,91.98,scattered clouds,-19.53,-54.04,Comercial Estrela
151,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
153,Gunjur,GM,77.0,broken clouds,13.2,-16.73,Kuba Lodge
154,Sao Felix Do Xingu,BR,91.67,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
155,Aden,YE,87.62,clear sky,12.78,45.04,Sama Emirate Hotel
156,Cabo San Lucas,MX,89.6,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
157,Bozeman,US,84.0,clear sky,45.68,-111.04,Homewood Suites by Hilton Bozeman
159,Jacareacanga,BR,92.57,broken clouds,-6.22,-57.75,Casa do Ian😎
160,Nara,JP,81.0,broken clouds,34.69,135.8,Guesthouse Nara Komachi
161,Banes,CU,91.4,broken clouds,20.96,-75.72,Hostal Iván y yailet
167,Marsa Matruh,EG,78.8,scattered clouds,31.35,27.25,Beau Site
170,Pokrovsk,UA,77.45,overcast clouds,48.28,37.18,Druzhba
171,Samarai,PG,78.06,broken clouds,-10.62,150.67,Nuli Sapi
172,Avera,US,93.2,clear sky,33.19,-82.53,
174,Vieste,IT,77.0,scattered clouds,41.88,16.18,Hotel Falcone
177,Buritizeiro,BR,78.96,scattered clouds,-17.35,-44.96,Santos Palace Hotel
179,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
183,Tateyama,JP,81.0,light rain,34.98,139.87,Tateyama Seaside Hotel
185,Utica,US,75.2,broken clouds,43.1,-75.23,Days Inn by Wyndham Utica
188,Sorong,ID,78.42,light rain,-0.88,131.25,The Waigo Hotel
190,Hamilton,US,84.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
192,Amahai,ID,76.57,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
193,Laguna,US,89.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
