City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,2020-09-03 21:03:01,27.98,-114.06,82.54,51,0,14.85,clear sky
1,Barrow,US,2020-09-03 21:00:06,71.29,-156.79,37.4,86,90,18.34,overcast clouds
2,Eyl,SO,2020-09-03 21:03:40,7.98,49.82,76.1,79,31,23.64,scattered clouds
3,Sulangan,PH,2020-09-03 20:50:12,11.14,123.72,83.95,72,100,4.16,overcast clouds
4,Butaritari,KI,2020-09-03 20:59:33,3.07,172.79,82.81,66,21,1.48,few clouds
5,Padang,ID,2020-09-03 21:01:18,-0.95,100.35,76.6,81,94,2.98,overcast clouds
6,Uaua,BR,2020-09-03 20:54:02,-9.84,-39.48,76.96,57,91,21.21,overcast clouds
7,Sorland,NO,2020-09-03 20:54:03,67.67,12.69,62.6,51,45,11.41,scattered clouds
8,Rocha,UY,2020-09-03 20:54:03,-34.48,-54.33,50.2,83,67,7.25,broken clouds
9,Tasiilaq,GL,2020-09-03 21:03:41,65.61,-37.64,41.0,75,0,10.29,clear sky
10,Busselton,AU,2020-09-03 21:03:41,-33.65,115.33,59.0,76,86,10.4,overcast clouds
11,Wuwei,CN,2020-09-03 20:54:04,37.93,102.64,58.53,36,0,1.41,clear sky
12,Port Alfred,ZA,2020-09-03 21:03:42,-33.59,26.89,62.83,65,41,16.4,scattered clouds
13,East London,ZA,2020-09-03 21:03:42,-33.02,27.91,63.45,52,0,7.83,clear sky
14,Nhulunbuy,AU,2020-09-03 20:54:04,-12.23,136.77,71.6,100,25,3.36,scattered clouds
15,Maceio,BR,2020-09-03 20:54:04,-9.67,-35.74,77.0,69,20,9.17,few clouds
16,Dikson,RU,2020-09-03 21:03:43,73.51,80.55,40.75,93,100,12.66,overcast clouds
17,Port Blair,IN,2020-09-03 20:50:10,11.67,92.75,81.99,76,24,4.38,few clouds
18,Punta Arenas,CL,2020-09-03 21:03:43,-53.15,-70.92,44.6,75,40,9.17,scattered clouds
19,Kaitangata,NZ,2020-09-03 21:03:43,-46.28,169.85,45.0,72,100,1.99,overcast clouds
