City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pyay,MM,2020-09-01 04:15:50,18.82,95.22,81.55,87,100,2.06
1,Kapaa,US,2020-09-01 04:15:51,22.08,-159.32,80.6,83,90,19.46
2,Yunyang,CN,2020-09-01 04:15:51,33.45,112.71,86.59,43,7,7.58
3,Geraldton,AU,2020-09-01 04:15:51,-28.77,114.6,64.4,63,75,18.34
4,Tonj,SS,2020-09-01 04:15:51,7.27,28.68,69.78,83,100,2.64
5,Avarua,CK,2020-09-01 04:15:52,-21.21,-159.78,75.2,73,25,13.87
6,Mar Del Plata,AR,2020-09-01 04:15:52,-38.0,-57.56,44.01,60,75,4.7
7,Khatanga,RU,2020-09-01 04:15:52,71.97,102.5,47.89,63,88,11.68
8,Yellowknife,CA,2020-09-01 04:15:52,62.46,-114.35,46.4,65,75,11.41
9,Coihaique,CL,2020-09-01 04:15:53,-45.58,-72.07,33.8,86,16,2.39
10,Cape Town,ZA,2020-09-01 04:14:44,-33.93,18.42,54.0,76,11,6.93
11,Chapais,CA,2020-09-01 04:15:53,49.78,-74.85,51.8,76,20,9.17
12,Punta Arenas,CL,2020-09-01 04:15:53,-53.15,-70.92,35.6,88,0,10.29
13,Nyurba,RU,2020-09-01 04:15:53,63.28,118.33,63.64,53,1,6.22
14,San Andres,CO,2020-09-01 04:15:14,12.58,-81.7,84.2,79,40,5.82
15,East London,ZA,2020-09-01 04:15:54,-33.02,27.91,55.4,82,20,4.7
16,Jamestown,US,2020-09-01 04:15:54,42.1,-79.24,68.0,82,90,10.29
17,Barrow,US,2020-09-01 04:15:01,71.29,-156.79,37.4,86,75,21.92
18,Kaseda,JP,2020-09-01 04:15:55,31.42,130.32,82.4,83,75,10.29
19,Albany,US,2020-09-01 04:12:28,42.6,-73.97,64.99,73,50,4.16
20,Chapleau,CA,2020-09-01 04:15:55,47.84,-83.4,59.13,96,100,9.44
21,Bredasdorp,ZA,2020-09-01 04:15:55,-34.53,20.04,48.2,93,71,3.36
22,Jawhar,SO,2020-09-01 04:15:56,2.78,45.5,76.95,77,86,16.82
23,Carnarvon,AU,2020-09-01 04:15:56,-24.87,113.63,69.8,64,40,19.46
24,Menongue,AO,2020-09-01 04:15:56,-14.66,17.69,58.5,70,20,4.45
25,Ngaoundere,CM,2020-09-01 04:15:57,7.32,13.58,64.89,95,100,1.68
26,Rio Gallegos,AR,2020-09-01 04:15:57,-51.62,-69.22,32.0,92,0,11.41
27,Castro,BR,2020-09-01 04:15:57,-24.79,-50.01,56.3,88,99,12.3
28,Cedar City,US,2020-09-01 04:15:57,37.68,-113.06,71.6,26,1,10.29
29,Hilo,US,2020-09-01 04:15:58,19.73,-155.09,80.6,69,90,8.05
30,Ushuaia,AR,2020-09-01 04:15:58,-54.8,-68.3,37.4,92,75,33.33
31,Salalah,OM,2020-09-01 04:15:58,17.02,54.09,77.0,100,90,3.36
32,Acarau,BR,2020-09-01 04:15:58,-2.89,-40.12,77.47,81,0,15.88
33,Tuktoyaktuk,CA,2020-09-01 04:15:59,69.45,-133.04,51.8,81,90,6.93
34,Rikitea,PF,2020-09-01 04:15:59,-23.12,-134.97,68.59,86,65,18.41
35,Saint-Philippe,RE,2020-09-01 04:15:59,-21.36,55.77,73.4,64,75,3.36
36,Narsaq,GL,2020-09-01 04:15:59,60.92,-46.05,44.6,75,97,10.29
37,Port Alfred,ZA,2020-09-01 04:16:00,-33.59,26.89,57.09,74,100,16.71
38,Margate,GB,2020-09-01 04:16:00,51.38,1.39,61.0,73,64,1.07
39,Atuona,PF,2020-09-01 04:16:00,-9.8,-139.03,78.53,76,61,21.03
40,Birao,CF,2020-09-01 04:16:01,10.28,22.79,69.6,94,64,3.04
41,The Valley,AI,2020-09-01 04:16:01,18.22,-63.06,84.2,83,40,9.17
42,Ouadda,CF,2020-09-01 04:16:01,8.08,22.4,66.13,94,24,1.57
43,Lorengau,PG,2020-09-01 04:16:01,-2.02,147.27,85.33,67,68,5.01
44,Vaini,TO,2020-09-01 04:16:02,-21.2,-175.2,80.6,83,75,10.29
45,Bucak,TR,2020-09-01 04:16:02,37.46,30.59,73.4,44,0,4.7
46,Birjand,IR,2020-09-01 04:16:02,32.87,59.22,60.8,44,0,4.7
47,Lat Yao,TH,2020-09-01 04:16:02,15.75,99.79,81.34,77,100,7.7
48,Torbay,CA,2020-09-01 04:16:03,47.67,-52.73,52.0,93,90,13.87
49,Paradise,US,2020-09-01 04:11:39,36.1,-115.15,96.8,8,40,8.05
50,San Clemente,US,2020-09-01 04:12:39,33.43,-117.61,66.99,83,13,3.13
51,Kodiak,US,2020-09-01 04:16:03,57.79,-152.41,59.0,62,1,12.75
52,Dikson,RU,2020-09-01 04:16:04,73.51,80.55,46.98,82,46,5.39
53,Butaritari,KI,2020-09-01 04:15:09,3.07,172.79,84.63,71,54,8.03
54,Hobart,AU,2020-09-01 04:11:31,-42.88,147.33,53.6,46,75,11.41
55,Namibe,AO,2020-09-01 04:16:04,-15.2,12.15,58.6,83,0,0.27
56,Provideniya,RU,2020-09-01 04:16:05,64.38,-173.3,50.0,61,40,13.42
57,Bluff,NZ,2020-09-01 04:16:05,-46.6,168.33,45.0,72,56,11.01
58,Georgetown,MY,2020-09-01 04:14:04,5.41,100.34,87.8,66,20,10.29
59,Puerto Ayora,EC,2020-09-01 04:16:05,-0.74,-90.35,64.94,82,97,8.95
60,Iracoubo,GF,2020-09-01 04:16:05,5.48,-53.2,77.86,86,29,10.87
61,Busselton,AU,2020-09-01 04:16:06,-33.65,115.33,57.0,53,46,25.5
62,Naze,JP,2020-09-01 04:14:29,28.37,129.48,87.8,84,75,25.28
63,San Luis,AR,2020-09-01 04:16:06,-33.3,-66.34,50.94,46,99,3.15
64,Mareeba,AU,2020-09-01 04:16:06,-17.0,145.43,82.0,44,16,7.0
65,Chuy,UY,2020-09-01 04:16:07,-33.7,-53.46,45.66,77,100,6.89
66,San Cristobal,VE,2020-09-01 04:16:07,7.77,-72.22,66.56,90,82,2.51
67,Perivolion,GR,2020-09-01 04:16:07,39.42,20.01,73.4,88,20,3.33
68,Gat,IL,2020-09-01 04:16:07,31.61,34.76,79.0,88,2,6.44
69,Buritizeiro,BR,2020-09-01 04:16:08,-17.35,-44.96,69.4,63,28,5.86
70,Norman Wells,CA,2020-09-01 04:16:08,65.28,-126.83,53.6,93,90,5.73
71,Mataura,NZ,2020-09-01 04:16:08,-46.19,168.86,45.0,72,60,11.01
72,Kerman,IR,2020-09-01 04:16:09,30.28,57.08,55.4,37,0,4.7
73,Xining,CN,2020-09-01 04:16:09,36.62,101.77,65.66,46,8,2.93
74,Hobyo,SO,2020-09-01 04:16:09,5.35,48.53,79.18,76,4,23.51
75,Virginia Beach,US,2020-09-01 04:12:25,36.85,-75.98,78.8,74,90,8.05
76,Luderitz,NA,2020-09-01 04:16:10,-26.65,15.16,51.84,73,0,19.24
77,Mahebourg,MU,2020-09-01 04:16:10,-20.41,57.7,69.8,83,75,11.41
78,Lompoc,US,2020-09-01 04:13:43,34.64,-120.46,60.8,82,75,2.53
79,Tasiilaq,GL,2020-09-01 04:16:11,65.61,-37.64,39.2,93,100,2.73
80,Ampanihy,MG,2020-09-01 04:16:11,-24.7,44.75,66.7,92,41,8.59
81,Port-Cartier,CA,2020-09-01 04:16:11,50.03,-66.87,42.8,93,40,3.8
82,Unhel,IN,2020-09-01 04:16:12,23.33,75.57,76.5,87,90,9.75
83,Longyearbyen,SJ,2020-09-01 04:16:12,78.22,15.64,39.2,80,75,20.8
84,Okha,RU,2020-09-01 04:16:12,53.57,142.95,56.19,95,100,14.7
85,Vila Franca Do Campo,PT,2020-09-01 04:16:13,37.72,-25.43,71.6,83,20,11.41
86,Port Elizabeth,ZA,2020-09-01 04:16:13,-33.92,25.57,59.0,82,75,18.34
87,Pundaguitan,PH,2020-09-01 04:16:13,6.37,126.17,83.93,69,49,1.77
88,Balabac,PH,2020-09-01 04:16:14,7.99,117.06,87.53,61,81,3.33
89,Lavrentiya,RU,2020-09-01 04:16:14,65.58,-171.0,43.52,74,100,12.35
90,Faya,SA,2020-09-01 04:16:14,18.39,42.45,66.2,45,7,3.53
91,Kelheim,DE,2020-09-01 04:16:15,48.92,11.87,57.0,87,90,2.08
92,Haines Junction,CA,2020-09-01 04:16:15,60.75,-137.51,46.44,77,51,6.6
93,Grafton,US,2020-09-01 04:16:15,42.21,-71.69,60.8,77,1,8.05
94,Chama,CH,2020-09-01 04:16:15,47.18,8.46,55.0,93,75,2.15
95,Qaanaaq,GL,2020-09-01 04:16:16,77.48,-69.36,26.92,83,75,5.55
96,Viedma,AR,2020-09-01 04:16:16,-40.81,-63.0,42.01,82,0,1.99
97,Kyshtovka,RU,2020-09-01 04:16:16,56.55,76.63,61.43,84,100,14.92
98,Lakota,CI,2020-09-01 04:16:16,5.85,-5.69,68.36,94,66,3.38
99,Guerrero Negro,MX,2020-09-01 04:16:16,27.98,-114.06,72.57,73,1,13.96
100,Saldanha,ZA,2020-09-01 04:16:17,-33.01,17.94,42.8,87,33,5.82
101,Pevek,RU,2020-09-01 04:16:17,69.7,170.31,37.26,89,97,11.77
102,San Quintin,MX,2020-09-01 04:16:17,30.48,-115.95,67.51,83,0,10.36
103,Pyapon,MM,2020-09-01 04:16:18,16.28,95.68,85.51,73,99,3.09
104,Honiara,SB,2020-09-01 04:16:18,-9.43,159.95,89.6,66,40,16.11
105,Marzuq,YE,2020-09-01 04:16:18,14.4,46.47,80.56,43,97,4.09
106,Beringovskiy,RU,2020-09-01 04:16:18,63.05,179.32,47.55,63,40,9.89
107,Tautira,PF,2020-09-01 04:16:18,-17.73,-149.15,82.4,51,75,8.05
108,Scarborough,GB,2020-09-01 04:16:16,54.28,-0.4,46.99,89,12,6.11
109,Cherskiy,RU,2020-09-01 04:16:19,68.75,161.3,46.31,68,99,4.21
110,Bulgan,MN,2020-09-01 04:16:19,48.81,103.53,59.25,57,30,3.56
111,Lida,BY,2020-09-01 04:16:19,53.88,25.3,49.77,96,92,4.23
112,Luganville,VU,2020-09-01 04:16:20,-15.53,167.17,80.6,78,75,9.17
113,Hue,VN,2020-09-01 04:16:20,16.47,107.6,93.2,59,20,9.17
114,Ibia,BR,2020-09-01 04:16:20,-19.48,-46.54,64.99,69,0,8.68
115,Harper,LR,2020-09-01 04:16:20,4.38,-7.72,75.24,82,100,8.88
116,Alta,NO,2020-09-01 04:16:21,69.97,23.27,48.2,87,75,5.82
117,Nanortalik,GL,2020-09-01 04:16:21,60.14,-45.24,42.49,90,96,8.59
118,Quatre Cocos,MU,2020-09-01 04:16:21,-20.21,57.76,73.0,83,75,11.41
119,Kumluca,TR,2020-09-01 04:16:22,36.37,30.29,84.16,31,0,2.93
120,New Norfolk,AU,2020-09-01 04:16:22,-42.78,147.06,53.01,58,98,5.99
121,Avera,US,2020-09-01 04:16:22,33.19,-82.53,77.0,75,40,1.48
122,Ponta Do Sol,PT,2020-09-01 04:16:23,32.67,-17.1,69.8,68,20,17.22
123,Bambous Virieux,MU,2020-09-01 04:16:23,-20.34,57.76,73.0,83,75,11.41
124,Hermanus,ZA,2020-09-01 04:16:23,-34.42,19.23,50.88,83,57,13.98
125,Kutum,SD,2020-09-01 04:16:23,14.2,24.67,72.12,77,44,2.77
126,Bathsheba,BB,2020-09-01 04:16:24,13.22,-59.52,80.6,78,20,4.7
127,Tuatapere,NZ,2020-09-01 04:14:33,-46.13,167.68,45.0,72,72,11.01
128,Tahe,CN,2020-09-01 04:16:24,52.33,124.73,56.05,87,98,2.42
129,Severo-Kurilsk,RU,2020-09-01 04:16:24,50.68,156.12,53.38,68,82,6.26
130,Muroto,JP,2020-09-01 04:16:24,33.28,134.15,87.8,74,75,10.29
131,Manhattan,US,2020-09-01 04:12:59,40.78,-73.97,73.4,73,1,3.36
132,Omboue,GA,2020-09-01 04:16:25,-1.57,9.26,73.2,85,94,8.1
133,Cockburn Town,TC,2020-09-01 04:11:48,21.46,-71.14,83.44,82,9,19.19
134,Wuwei,CN,2020-09-01 04:16:25,37.93,102.64,74.95,31,70,1.14
135,Pangai,TO,2020-09-01 04:16:26,-19.8,-174.35,82.4,78,20,9.17
136,Ekibastuz,KZ,2020-09-01 04:14:33,51.67,75.37,79.03,31,0,13.33
137,Muisne,EC,2020-09-01 04:16:26,0.6,-80.03,73.27,87,100,8.34
138,Calvinia,ZA,2020-09-01 04:16:26,-31.47,19.78,42.58,60,100,9.28
139,Port Lincoln,AU,2020-09-01 04:13:49,-34.73,135.87,65.03,51,100,18.88
140,Saint George,US,2020-09-01 04:16:27,37.1,-113.58,89.6,19,1,6.93
141,Moradabad,IN,2020-09-01 04:16:27,28.83,78.78,86.05,68,6,4.09
142,Suicheng,CN,2020-09-01 04:16:27,33.9,117.93,86.9,64,2,5.7
143,Kenai,US,2020-09-01 04:16:28,60.55,-151.26,59.0,71,20,18.34
144,Rodez,FR,2020-09-01 04:16:28,44.5,2.58,53.01,93,62,2.24
